epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1212,0.72121,0.45152,0.96,0.97155,0.83952,0.89144,0.63704,1.10149,0.74014,1.15845,0.000470147,0.000470147,0.000470147
2,27.7375,0.77811,0.51143,1.00096,0.84934,0.8317,0.8471,0.59666,1.06736,0.72491,1.13151,0.000943357,0.000943357,0.000943357
3,39.0596,0.84096,0.56516,1.02457,0.8979,0.83443,0.8418,0.58924,1.10439,0.71952,1.16506,0.00141342,0.00141342,0.00141342
4,50.2939,0.87907,0.56867,1.03123,0.85554,0.74774,0.79015,0.5559,1.1358,0.67081,1.19136,0.00141485,0.00141485,0.00141485
5,61.278,0.8377,0.56423,1.03366,0.85741,0.72598,0.81171,0.58785,1.04702,0.76614,1.11793,0.00141014,0.00141014,0.00141014
6,72.2041,0.90056,0.60174,1.04854,0.94318,0.74344,0.85504,0.5879,1.09067,0.76322,1.12904,0.00140542,0.00140542,0.00140542
7,83.1249,0.88374,0.58544,1.03487,0.97197,0.77304,0.8503,0.60558,1.10122,0.67143,1.18924,0.00140071,0.00140071,0.00140071
8,94.5926,0.87979,0.5937,1.04226,0.83659,0.83523,0.85482,0.62585,1.06476,0.72188,1.1814,0.00139599,0.00139599,0.00139599
9,105.387,0.87624,0.58567,1.05173,0.89356,0.81993,0.86246,0.60131,1.1178,0.73243,1.19848,0.00139127,0.00139127,0.00139127
10,117.049,0.90084,0.59,1.04437,0.8753,0.83615,0.86126,0.60365,1.07479,0.69447,1.16436,0.00138656,0.00138656,0.00138656
11,128.445,0.90123,0.58135,1.04882,0.9619,0.75562,0.84673,0.58618,1.13517,0.7697,1.16169,0.00138184,0.00138184,0.00138184
12,140.248,0.91511,0.61014,1.05694,0.96982,0.73714,0.82664,0.5764,1.1449,0.76759,1.22329,0.00137713,0.00137713,0.00137713
13,151.814,0.88045,0.5888,1.04075,0.73827,0.81135,0.76578,0.54536,1.14659,0.77786,1.19604,0.00137241,0.00137241,0.00137241
14,163.083,0.91879,0.59198,1.06095,0.87436,0.78825,0.8351,0.59707,1.06336,0.73745,1.16722,0.0013677,0.0013677,0.0013677
15,174.313,0.8694,0.58421,1.04841,0.87577,0.74304,0.78684,0.59191,1.05544,0.69367,1.16402,0.00136298,0.00136298,0.00136298
