epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.58277,1.18405,2.89122,1.3746,0.97287,0.06501,0.14125,0.09845,0.97669,3.03378,1.17635,0.000365043,0.000365043,0.000365043
2,12.3441,1.09503,1.91638,1.30707,0.68586,0.22857,0.19944,0.12052,1.10201,1.95159,1.34925,0.000728096,0.000728096,0.000728096
3,17.9727,1.17609,1.80253,1.3694,0.82863,0.17457,0.21113,0.14778,1.26074,2.04714,1.4491,0.00108382,0.00108382,0.00108382
4,23.6589,1.16479,1.59469,1.33408,0.73399,0.28887,0.2212,0.13942,1.13173,1.69686,1.34282,0.001078,0.001078,0.001078
5,29.784,1.14471,1.45267,1.30667,0.90866,0.30345,0.3462,0.25459,0.99524,1.41937,1.17526,0.001067,0.001067,0.001067
6,36.6149,1.10857,1.31327,1.28947,0.5853,0.32163,0.27316,0.18568,1.1042,1.28381,1.45576,0.00105601,0.00105601,0.00105601
7,43.3701,1.0816,1.22695,1.25269,0.66485,0.46599,0.45574,0.30164,0.94029,1.12315,1.17645,0.00104501,0.00104501,0.00104501
8,50.3162,1.06834,1.1344,1.25946,0.76282,0.42898,0.44709,0.28613,1.01301,1.1669,1.21083,0.00103401,0.00103401,0.00103401
9,57.0632,1.03717,1.10261,1.22841,0.92234,0.2764,0.36819,0.2462,0.97185,1.07093,1.14029,0.00102301,0.00102301,0.00102301
10,63.6815,1.06497,1.05954,1.2374,0.93241,0.29592,0.4148,0.27285,1.02927,1.2551,1.21297,0.00101201,0.00101201,0.00101201
11,69.2235,1.05031,1.08855,1.23924,0.91727,0.31633,0.38875,0.25782,0.9788,1.094,1.15272,0.00100101,0.00100101,0.00100101
12,75.877,0.99796,0.98576,1.20347,0.94269,0.34277,0.42501,0.30985,0.85238,0.98471,1.08201,0.000990012,0.000990012,0.000990012
13,82.5019,0.99557,0.94839,1.21354,0.95116,0.35918,0.44083,0.31466,0.91418,1.0202,1.11245,0.000979013,0.000979013,0.000979013
14,89.4651,0.98107,0.94177,1.18985,0.3687,0.4484,0.44244,0.30075,0.88714,0.97634,1.07576,0.000968014,0.000968014,0.000968014
15,96.3918,1.02675,0.94806,1.21531,0.74517,0.39633,0.4441,0.31615,0.90036,1.01319,1.1188,0.000957015,0.000957015,0.000957015
16,103.219,0.96961,0.88546,1.18597,0.55983,0.44531,0.42433,0.30493,0.88362,1.00759,1.09171,0.000946016,0.000946016,0.000946016
17,109.459,0.97994,0.88358,1.20078,0.74489,0.4556,0.42753,0.31734,0.84,1.14863,1.06651,0.000935018,0.000935018,0.000935018
18,115.393,0.91587,0.83538,1.15678,0.76438,0.44939,0.47845,0.34227,0.85111,0.94117,1.07507,0.000924019,0.000924019,0.000924019
19,122.246,0.92011,0.80645,1.15134,0.95564,0.30622,0.40667,0.3032,0.89315,0.88924,1.09218,0.00091302,0.00091302,0.00091302
20,128.69,0.94703,0.85874,1.16761,0.55462,0.45816,0.41808,0.31261,0.86454,0.97698,1.06398,0.000902021,0.000902021,0.000902021
21,135.256,0.92968,0.80443,1.16326,0.55663,0.46179,0.41616,0.29187,0.92856,0.90995,1.11192,0.000891022,0.000891022,0.000891022
22,141.914,0.90042,0.80433,1.14825,0.8962,0.42626,0.47825,0.35667,0.89261,0.91513,1.08109,0.000880023,0.000880023,0.000880023
23,148.461,0.93621,0.80057,1.16532,0.67777,0.4834,0.52942,0.40458,0.7902,0.83158,1.03417,0.000869024,0.000869024,0.000869024
24,155.074,0.88051,0.76287,1.14808,0.5005,0.46063,0.47339,0.34784,0.87159,0.90989,1.06779,0.000858025,0.000858025,0.000858025
