epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8198,1.3472,2.85823,1.30915,0.90614,0.21535,0.25824,0.16952,1.24644,1.77071,1.20186,0.000331588,0.000331588,0.000331588
2,38.7599,1.33564,1.97033,1.33028,0.69716,0.35133,0.29273,0.18601,1.36464,2.10885,1.37093,0.00066163,0.00066163,0.00066163
3,54.0698,1.3114,1.60092,1.31029,0.4443,0.45108,0.36956,0.22236,1.35291,1.60501,1.30219,0.000988372,0.000988372,0.000988372
4,69.438,1.34666,1.47703,1.33667,0.45646,0.50181,0.45616,0.26446,1.35945,1.4719,1.33825,0.00098515,0.00098515,0.00098515
5,84.0253,1.26753,1.26724,1.30517,0.6507,0.4684,0.52018,0.33962,1.19658,1.1666,1.20407,0.0009802,0.0009802,0.0009802
6,98.124,1.25536,1.21193,1.28442,0.54366,0.47341,0.51309,0.33978,1.30019,1.35051,1.33323,0.00097525,0.00097525,0.00097525
7,112.042,1.20961,1.11103,1.25996,0.64372,0.49287,0.53026,0.34638,1.16698,1.18113,1.21201,0.0009703,0.0009703,0.0009703
8,126.096,1.19467,1.08284,1.2463,0.69372,0.49899,0.57086,0.39897,1.12496,0.98225,1.16095,0.00096535,0.00096535,0.00096535
9,140.489,1.16386,1.02461,1.23997,0.82424,0.4762,0.51446,0.32181,1.15595,1.04083,1.22603,0.0009604,0.0009604,0.0009604
10,155.005,1.14871,0.9936,1.23978,0.51738,0.56322,0.56946,0.3635,1.14256,1.02962,1.19255,0.00095545,0.00095545,0.00095545
11,170.319,1.1604,0.99548,1.23451,0.51524,0.63312,0.60779,0.37999,1.18309,0.91603,1.18538,0.0009505,0.0009505,0.0009505
12,185.494,1.12405,0.94965,1.21653,0.72806,0.51289,0.59163,0.38523,1.16115,0.89696,1.22894,0.00094555,0.00094555,0.00094555
