epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,87.0145,0.59022,0.53623,0.96274,0.67035,0.71667,0.88943,0.59207,1.5791,1.30564,1.39267,2.82082e-05,2.82082e-05,2.82082e-05
40,89.2736,0.64667,0.51238,1.0678,0.67035,0.71667,0.88943,0.59207,1.5791,1.30564,1.39267,2.84911e-05,2.84911e-05,2.84911e-05
41,91.4883,0.59398,0.43457,1.00336,0.65504,0.71667,0.8876,0.61161,1.58557,1.30745,1.39667,2.87504e-05,2.87504e-05,2.87504e-05
42,93.6686,0.38161,0.71393,0.98973,0.65504,0.71667,0.8876,0.61161,1.58557,1.30745,1.39667,2.89861e-05,2.89861e-05,2.89861e-05
43,95.96,0.68033,0.62415,1.14176,0.63265,0.71667,0.88624,0.6037,1.56733,1.29451,1.38888,2.91983e-05,2.91983e-05,2.91983e-05
44,98.1478,0.8069,0.61977,1.265,0.63265,0.71667,0.88624,0.6037,1.56733,1.29451,1.38888,2.93869e-05,2.93869e-05,2.93869e-05
45,100.35,0.50173,0.49173,0.938,0.61357,0.71667,0.8855,0.60091,1.54728,1.28287,1.37179,2.9552e-05,2.9552e-05,2.9552e-05
46,102.498,0.59008,0.4791,1.11483,0.61357,0.71667,0.8855,0.60091,1.54728,1.28287,1.37179,2.96935e-05,2.96935e-05,2.96935e-05
47,104.698,0.7675,1.04795,1.21924,0.60684,0.71667,0.88628,0.59491,1.55673,1.29063,1.3776,2.98114e-05,2.98114e-05,2.98114e-05
48,106.84,0.69334,0.86112,1.13661,0.60684,0.71667,0.88628,0.59491,1.55673,1.29063,1.3776,2.99058e-05,2.99058e-05,2.99058e-05
49,109.077,0.73411,0.55893,1.32053,0.60619,0.71667,0.88447,0.61343,1.55341,1.30002,1.37477,2.99766e-05,2.99766e-05,2.99766e-05
50,111.51,0.68806,0.49917,1.21923,0.60619,0.71667,0.88447,0.61343,1.55341,1.30002,1.37477,3.00238e-05,3.00238e-05,3.00238e-05
51,113.803,0.62798,0.44814,1.06885,0.85396,0.57631,0.88617,0.63275,1.53537,1.29375,1.37295,3.00475e-05,3.00475e-05,3.00475e-05
52,116.023,0.93725,0.65682,1.3553,0.85396,0.57631,0.88617,0.63275,1.53537,1.29375,1.37295,3.00476e-05,3.00476e-05,3.00476e-05
53,118.231,0.53981,0.50712,1.10726,0.85396,0.57631,0.88617,0.63275,1.53537,1.29375,1.37295,3.00242e-05,3.00242e-05,3.00242e-05
54,120.492,0.71574,0.60824,1.20612,0.85487,0.57307,0.87059,0.63409,1.52753,1.29317,1.37018,2.99772e-05,2.99772e-05,2.99772e-05
55,122.707,0.56319,0.41084,0.9702,0.85487,0.57307,0.87059,0.63409,1.52753,1.29317,1.37018,2.99066e-05,2.99066e-05,2.99066e-05
56,124.869,0.71902,0.79116,1.28176,0.85487,0.57307,0.87059,0.63409,1.52753,1.29317,1.37018,2.98125e-05,2.98125e-05,2.98125e-05
57,127.118,0.8075,0.87301,1.25004,0.84352,0.57245,0.86903,0.63574,1.51272,1.29956,1.36216,2.96948e-05,2.96948e-05,2.96948e-05
58,129.333,0.80118,0.83725,1.24047,0.84352,0.57245,0.86903,0.63574,1.51272,1.29956,1.36216,2.95535e-05,2.95535e-05,2.95535e-05
59,131.591,0.63619,0.55195,1.07843,0.84352,0.57245,0.86903,0.63574,1.51272,1.29956,1.36216,2.93887e-05,2.93887e-05,2.93887e-05
60,133.812,0.91231,0.63923,1.4909,0.85321,0.56452,0.86451,0.6203,1.50484,1.3159,1.35125,2.92003e-05,2.92003e-05,2.92003e-05
61,136.027,0.59933,0.46186,1.06032,0.85321,0.56452,0.86451,0.6203,1.50484,1.3159,1.35125,2.89884e-05,2.89884e-05,2.89884e-05
62,138.244,0.56103,0.50112,0.96256,0.85321,0.56452,0.86451,0.6203,1.50484,1.3159,1.35125,2.87529e-05,2.87529e-05,2.87529e-05
63,140.476,0.63929,0.65441,1.075,0.83257,0.57219,0.86587,0.60412,1.51813,1.3486,1.35427,2.84938e-05,2.84938e-05,2.84938e-05
64,142.65,0.51262,0.47063,1.00946,0.83257,0.57219,0.86587,0.60412,1.51813,1.3486,1.35427,2.82112e-05,2.82112e-05,2.82112e-05
65,144.848,0.58609,0.55778,1.19161,0.83257,0.57219,0.86587,0.60412,1.51813,1.3486,1.35427,2.7905e-05,2.7905e-05,2.7905e-05
66,147.05,0.55103,0.45554,1.02157,0.82363,0.56667,0.90613,0.62581,1.51423,1.3663,1.35194,2.75753e-05,2.75753e-05,2.75753e-05
67,149.358,0.60273,0.71885,1.03548,0.82363,0.56667,0.90613,0.62581,1.51423,1.3663,1.35194,2.7222e-05,2.7222e-05,2.7222e-05
68,151.552,0.75203,0.99364,1.19298,0.82363,0.56667,0.90613,0.62581,1.51423,1.3663,1.35194,2.68451e-05,2.68451e-05,2.68451e-05
69,153.738,0.5998,0.66629,1.08417,0.8892,0.53069,0.90485,0.6267,1.5248,1.3896,1.35723,2.64447e-05,2.64447e-05,2.64447e-05
70,155.927,0.72954,0.48537,1.27867,0.8892,0.53069,0.90485,0.6267,1.5248,1.3896,1.35723,2.60207e-05,2.60207e-05,2.60207e-05
71,158.107,0.70498,0.72783,1.15986,0.8892,0.53069,0.90485,0.6267,1.5248,1.3896,1.35723,2.55731e-05,2.55731e-05,2.55731e-05
72,160.346,0.48753,0.41828,1.00749,0.93845,0.53069,0.90469,0.61301,1.53046,1.41142,1.35902,2.5102e-05,2.5102e-05,2.5102e-05
73,162.542,0.59571,0.53587,0.99794,0.93845,0.53069,0.90469,0.61301,1.53046,1.41142,1.35902,2.46073e-05,2.46073e-05,2.46073e-05
74,164.825,0.67166,0.43319,1.10428,0.93845,0.53069,0.90469,0.61301,1.53046,1.41142,1.35902,2.40891e-05,2.40891e-05,2.40891e-05
75,167.041,0.59333,0.42777,1.07448,0.94636,0.52462,0.93141,0.61429,1.52475,1.43231,1.35712,2.35472e-05,2.35472e-05,2.35472e-05
76,169.22,0.5687,0.57418,1.13008,0.94636,0.52462,0.93141,0.61429,1.52475,1.43231,1.35712,2.29819e-05,2.29819e-05,2.29819e-05
77,171.406,0.55854,0.45731,1.02238,0.94636,0.52462,0.93141,0.61429,1.52475,1.43231,1.35712,2.23929e-05,2.23929e-05,2.23929e-05
78,173.622,0.64472,0.69046,1.06083,0.94426,0.52306,0.93082,0.61012,1.54604,1.47448,1.36638,2.17805e-05,2.17805e-05,2.17805e-05
