epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8774,1.12451,0.96541,1.25735,0.79567,0.69489,0.73221,0.48324,1.27576,1.53658,1.3164,0.00332373,0.00332373,0.00332373
2,106.555,1.16028,0.92675,1.24182,0.66378,0.40589,0.4398,0.27902,1.73279,3.78904,1.64347,0.00662411,0.00662411,0.00662411
3,155.376,1.23898,1.05349,1.27069,0.7499,0.53868,0.5253,0.33572,1.55257,4.55972,1.5201,0.00989149,0.00989149,0.00989149
4,203.773,1.32809,1.10156,1.296,0.6758,0.61276,0.63697,0.40541,1.33504,2.04627,1.31074,0.0098515,0.0098515,0.0098515
5,252.599,1.32598,1.10937,1.28907,0.62492,0.53249,0.62138,0.39695,1.46529,1.49482,1.39449,0.009802,0.009802,0.009802
6,300.703,1.30815,1.0728,1.28085,0.70597,0.68378,0.72015,0.48431,1.24364,1.46522,1.2376,0.0097525,0.0097525,0.0097525
7,348.654,1.2825,1.03402,1.25334,0.7493,0.69967,0.73333,0.47418,1.21196,1.10748,1.23122,0.009703,0.009703,0.009703
8,395.834,1.27163,1.03042,1.25986,0.75058,0.69929,0.72242,0.47008,1.45054,1.38061,1.32718,0.0096535,0.0096535,0.0096535
9,443.805,1.26881,1.05514,1.24789,0.77872,0.62506,0.72396,0.48901,1.25102,1.27254,1.26605,0.009604,0.009604,0.009604
10,491.73,1.2869,1.00841,1.27473,0.79767,0.64727,0.75099,0.49243,1.22457,0.99186,1.22976,0.0095545,0.0095545,0.0095545
11,540.242,1.25407,0.95408,1.24393,0.72748,0.74014,0.78425,0.5124,1.22492,1.13548,1.23594,0.009505,0.009505,0.009505
12,588.605,1.24593,0.94485,1.24379,0.74153,0.73833,0.77893,0.50284,1.21693,1.08404,1.22998,0.0094555,0.0094555,0.0094555
13,636.814,1.23195,0.91882,1.22664,0.7625,0.69901,0.74181,0.47779,1.25528,0.98823,1.25349,0.009406,0.009406,0.009406
14,684.935,1.22464,0.91252,1.23723,0.7234,0.70769,0.75221,0.48772,1.2482,1.0643,1.28547,0.0093565,0.0093565,0.0093565
15,732.64,1.2321,0.91076,1.23291,0.91085,0.69739,0.77714,0.49981,1.24019,1.20882,1.26715,0.009307,0.009307,0.009307
16,780.058,1.23804,0.89348,1.2203,0.76254,0.79444,0.79284,0.52115,1.23486,1.12387,1.25199,0.0092575,0.0092575,0.0092575
17,828.784,1.22688,0.90392,1.2336,0.83034,0.78189,0.82832,0.54759,1.18947,0.92724,1.20869,0.009208,0.009208,0.009208
