epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5066,1.19904,1.22605,1.26833,0.82441,0.43625,0.523,0.33251,1.24585,1.12466,1.23333,0.00332564,0.00332564,0.00332564
2,70.124,1.13731,0.97407,1.20235,0.80315,0.42091,0.45006,0.2959,1.22921,1.15516,1.24844,0.00659304,0.00659304,0.00659304
3,100.933,1.17054,0.99164,1.21682,0.79488,0.42508,0.48919,0.31409,1.23975,1.29039,1.2815,0.00979445,0.00979445,0.00979445
4,131.147,1.20962,1.02558,1.23594,0.92359,0.48066,0.56156,0.3707,1.15805,1.03452,1.19855,0.009703,0.009703,0.009703
5,162.687,1.16563,0.95911,1.21849,0.70573,0.48305,0.55704,0.37811,1.14963,1.06975,1.19995,0.009604,0.009604,0.009604
6,195.983,1.1446,0.92062,1.20369,0.84321,0.48073,0.54609,0.34141,1.13676,1.00421,1.1692,0.009505,0.009505,0.009505
7,229.296,1.12345,0.88483,1.18395,0.68758,0.45933,0.5424,0.37686,1.12346,0.93939,1.19124,0.009406,0.009406,0.009406
8,261.314,1.09721,0.85669,1.17414,0.6328,0.57749,0.5724,0.40026,1.08895,0.89843,1.16291,0.009307,0.009307,0.009307
9,293.158,1.09434,0.8429,1.17055,0.82147,0.49939,0.58504,0.3864,1.0684,0.791,1.126,0.009208,0.009208,0.009208
10,325.994,1.06555,0.79496,1.15199,0.69417,0.54424,0.61508,0.4051,1.09278,0.81597,1.14957,0.009109,0.009109,0.009109
11,359.65,1.05953,0.79769,1.14583,0.65759,0.61836,0.59881,0.43064,1.0353,0.83778,1.1323,0.00901,0.00901,0.00901
12,397.497,1.04595,0.76766,1.1392,0.85434,0.54781,0.57812,0.4081,1.06047,0.80387,1.13138,0.008911,0.008911,0.008911
13,432.491,1.03538,0.75034,1.13541,0.93193,0.51963,0.60026,0.41466,1.05329,0.81481,1.12429,0.008812,0.008812,0.008812
14,464.796,1.01582,0.74235,1.12811,0.69167,0.55411,0.57041,0.40549,1.05664,0.81284,1.13237,0.008713,0.008713,0.008713
15,496.791,1.00158,0.71163,1.11801,0.68901,0.60027,0.62209,0.42171,1.01112,0.77807,1.08297,0.008614,0.008614,0.008614
16,531.748,0.99608,0.70536,1.11381,0.67556,0.52907,0.56231,0.40146,1.02827,0.84244,1.12385,0.008515,0.008515,0.008515
