epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.22281,1.48448,2.94599,1.45345,0.77154,0.44972,0.47906,0.28791,1.31786,1.983,1.37752,0.000470147,0.000470147,0.000470147
2,16.8585,1.34089,1.7229,1.34951,0.67294,0.72079,0.71674,0.47198,1.2176,1.10651,1.26687,0.000941795,0.000941795,0.000941795
3,24.204,1.30805,1.41798,1.31361,0.73741,0.78089,0.80427,0.49499,1.22264,0.97111,1.23432,0.00140873,0.00140873,0.00140873
4,31.5648,1.28462,1.28882,1.31004,0.65161,0.63569,0.67209,0.40702,1.27624,1.31459,1.32095,0.00140778,0.00140778,0.00140778
5,38.86,1.28205,1.20459,1.3,0.53466,0.66719,0.64473,0.40148,1.2456,1.13138,1.25138,0.00140071,0.00140071,0.00140071
6,46.1604,1.25707,1.12826,1.27472,0.73592,0.72429,0.75965,0.51599,1.1939,0.86343,1.21658,0.00139363,0.00139363,0.00139363
7,53.6596,1.22108,1.06952,1.25164,0.81883,0.7009,0.7958,0.51896,1.34104,0.94023,1.31485,0.00138656,0.00138656,0.00138656
8,61.1531,1.22449,1.05462,1.24298,0.84588,0.63665,0.7357,0.48821,1.20989,0.90951,1.23751,0.00137949,0.00137949,0.00137949
9,68.3896,1.23988,1.04748,1.24878,0.70255,0.87108,0.76586,0.50829,1.14897,0.80427,1.21185,0.00137241,0.00137241,0.00137241
10,75.6087,1.18693,0.95252,1.22912,0.89135,0.73652,0.83799,0.55718,1.13395,0.77647,1.19825,0.00136534,0.00136534,0.00136534
11,82.893,1.18461,0.94193,1.22482,0.67793,0.77436,0.79576,0.57676,1.14631,0.82715,1.1947,0.00135826,0.00135826,0.00135826
12,90.1559,1.14186,0.90371,1.20001,0.81475,0.70889,0.79473,0.55067,1.16561,0.80835,1.20193,0.00135119,0.00135119,0.00135119
13,97.4752,1.16801,0.90553,1.21469,0.85283,0.71938,0.80731,0.54656,1.12891,0.75405,1.18512,0.00134412,0.00134412,0.00134412
14,104.733,1.13125,0.88356,1.1929,0.67384,0.80142,0.75259,0.5241,1.13323,0.7761,1.18938,0.00133704,0.00133704,0.00133704
15,112.13,1.10246,0.84701,1.19604,0.84959,0.79474,0.83618,0.57615,1.13318,0.72953,1.18941,0.00132997,0.00132997,0.00132997
16,119.414,1.11136,0.8351,1.17774,0.80215,0.78722,0.77691,0.53792,1.17426,0.82188,1.17419,0.0013229,0.0013229,0.0013229
17,126.681,1.11222,0.86222,1.18709,0.82282,0.77929,0.8384,0.5663,1.16151,0.81155,1.20518,0.00131582,0.00131582,0.00131582
18,133.918,1.12552,0.82815,1.19894,0.73639,0.79664,0.79343,0.54072,1.09196,0.76047,1.15789,0.00130875,0.00130875,0.00130875
19,141.203,1.09474,0.81464,1.17217,0.73906,0.7922,0.79421,0.56608,1.09533,0.70677,1.14811,0.00130168,0.00130168,0.00130168
20,148.484,1.09289,0.82191,1.17076,0.8689,0.77705,0.81602,0.55269,1.09924,0.72034,1.17736,0.0012946,0.0012946,0.0012946
21,155.725,1.09389,0.82138,1.16712,0.81191,0.70048,0.78132,0.55625,1.09694,0.74791,1.16097,0.00128753,0.00128753,0.00128753
22,162.969,1.09135,0.78605,1.16595,0.79405,0.77675,0.79021,0.56491,1.0822,0.69084,1.11749,0.00128046,0.00128046,0.00128046
23,170.204,1.08016,0.7712,1.15811,0.75908,0.74268,0.76467,0.53646,1.11374,0.73165,1.17852,0.00127338,0.00127338,0.00127338
