epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.71839,1.50025,3.43614,1.39895,0.71671,0.11497,0.15237,0.10571,1.33088,3.04731,1.24449,0.000470147,0.000470147,0.000470147
2,14.3934,1.457,2.27504,1.41062,0.7416,0.36227,0.38433,0.18398,1.7185,2.17836,1.64905,0.00093711,0.00093711,0.00093711
3,20.3714,1.48873,2.11462,1.42499,0.72896,0.38498,0.41298,0.24093,1.35327,3.0822,1.41097,0.00139464,0.00139464,0.00139464
4,26.226,1.48367,1.92469,1.44817,0.68557,0.43455,0.38838,0.22226,1.56355,5.03328,1.6031,0.00138656,0.00138656,0.00138656
5,31.9491,1.47865,1.71514,1.45016,0.83344,0.48107,0.53671,0.32766,1.38058,1.88813,1.32321,0.00137241,0.00137241,0.00137241
6,37.653,1.42981,1.5288,1.40886,0.79707,0.5135,0.54849,0.34318,1.35837,1.84352,1.38942,0.00135826,0.00135826,0.00135826
7,44.0298,1.38005,1.48532,1.38517,0.67547,0.56086,0.6099,0.37225,1.422,1.81922,1.40963,0.00134412,0.00134412,0.00134412
8,50.5442,1.37071,1.3646,1.3774,0.60487,0.77934,0.74106,0.45114,1.23059,1.14611,1.28133,0.00132997,0.00132997,0.00132997
9,57.1479,1.35765,1.34952,1.34628,0.88901,0.53428,0.62059,0.40845,1.23477,1.29543,1.28291,0.00131582,0.00131582,0.00131582
10,63.5509,1.30169,1.17632,1.30881,0.78072,0.57441,0.61107,0.34853,1.48042,1.64705,1.47877,0.00130168,0.00130168,0.00130168
11,69.9819,1.31531,1.18239,1.3319,0.62336,0.69811,0.67418,0.41805,1.44342,1.40511,1.41056,0.00128753,0.00128753,0.00128753
12,76.3024,1.24695,1.12206,1.29927,0.8792,0.63265,0.7523,0.50093,1.17301,0.9465,1.23503,0.00127338,0.00127338,0.00127338
13,82.4532,1.25715,1.0836,1.2936,0.72285,0.68709,0.7137,0.46136,1.20357,0.95968,1.26298,0.00125923,0.00125923,0.00125923
14,88.897,1.26239,1.0982,1.29884,0.76033,0.67616,0.73792,0.48785,1.13891,0.90978,1.22129,0.00124509,0.00124509,0.00124509
15,95.4815,1.17557,0.9871,1.24622,0.80015,0.75904,0.80301,0.53494,1.17278,1.03668,1.21915,0.00123094,0.00123094,0.00123094
16,101.975,1.21882,1.02256,1.2639,0.92376,0.69232,0.80176,0.55136,1.17581,0.87703,1.20828,0.00121679,0.00121679,0.00121679
17,108.41,1.19474,1.02553,1.26533,0.88632,0.69934,0.76028,0.51481,1.16235,0.89911,1.22619,0.00120265,0.00120265,0.00120265
18,113.995,1.2161,0.97722,1.26295,0.84137,0.7553,0.81269,0.54969,1.14453,0.84014,1.18853,0.0011885,0.0011885,0.0011885
19,118.993,1.18334,0.94707,1.24843,0.6508,0.83125,0.8098,0.53902,1.14094,0.88622,1.2074,0.00117435,0.00117435,0.00117435
20,123.998,1.17115,0.93078,1.23682,0.80184,0.74432,0.81022,0.54004,1.20988,0.92273,1.26427,0.00116021,0.00116021,0.00116021
21,129.053,1.17534,0.93865,1.23736,0.70041,0.8395,0.74482,0.533,1.09123,0.75315,1.19393,0.00114606,0.00114606,0.00114606
22,134.083,1.1517,0.90273,1.22735,0.71364,0.86599,0.81647,0.561,1.12827,0.78007,1.16992,0.00113191,0.00113191,0.00113191
