epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2047.94,1.08846,0.75956,1.14474,0.76305,0.8239,0.8061,0.53672,1.22353,1.08584,1.23091,0.0091882,0.0091882,0.0091882
43,2097.2,1.10244,0.75995,1.15349,0.81001,0.74359,0.78534,0.52898,1.16354,0.95364,1.21108,0.0091684,0.0091684,0.0091684
44,2145.63,1.089,0.74799,1.14672,0.74577,0.8359,0.80815,0.54285,1.20933,1.05054,1.2463,0.0091486,0.0091486,0.0091486
45,2194.06,1.08716,0.74665,1.14763,0.77483,0.80239,0.78125,0.4896,1.21508,1.02484,1.22388,0.0091288,0.0091288,0.0091288
46,2242.38,1.11918,0.7837,1.17476,0.75349,0.72355,0.71597,0.47896,1.16346,0.95406,1.19921,0.009109,0.009109,0.009109
47,2291.44,1.0723,0.71882,1.13972,0.84596,0.73144,0.80527,0.55091,1.22141,0.95823,1.25393,0.0090892,0.0090892,0.0090892
48,2340.42,1.08663,0.72347,1.13612,0.7365,0.72142,0.76842,0.49795,1.19106,0.96291,1.21435,0.0090694,0.0090694,0.0090694
49,2388.54,1.0796,0.74042,1.13316,0.69998,0.79139,0.77106,0.52439,1.20492,1.00844,1.26062,0.0090496,0.0090496,0.0090496
50,2436.43,1.05879,0.74769,1.13029,0.72045,0.88441,0.81515,0.54968,1.23479,0.94055,1.26292,0.0090298,0.0090298,0.0090298
51,2485.5,1.05305,0.71743,1.12645,0.81177,0.80969,0.8572,0.57204,1.20417,0.9592,1.2167,0.00901,0.00901,0.00901
52,2534.1,1.05659,0.73299,1.12418,0.76494,0.75403,0.7915,0.52811,1.22309,1.00534,1.21681,0.0089902,0.0089902,0.0089902
53,2582.4,1.07476,0.74375,1.12722,0.77701,0.81849,0.78999,0.52926,1.17902,1.02138,1.21224,0.0089704,0.0089704,0.0089704
54,2630.58,1.0287,0.70141,1.12328,0.76329,0.76903,0.76941,0.54587,1.22485,1.11157,1.21307,0.0089506,0.0089506,0.0089506
55,2678.97,1.05409,0.70294,1.13314,0.76456,0.78914,0.73829,0.50142,1.212,1.06637,1.22922,0.0089308,0.0089308,0.0089308
56,2726.95,1.07385,0.71406,1.13866,0.74598,0.77866,0.78124,0.55326,1.21517,0.99344,1.21616,0.008911,0.008911,0.008911
57,2774.71,1.05625,0.69852,1.12703,0.71166,0.7897,0.77438,0.52742,1.20859,0.96412,1.21202,0.0088912,0.0088912,0.0088912
58,2822.11,1.04233,0.69612,1.12325,0.75797,0.77728,0.78422,0.53213,1.21239,0.94244,1.19736,0.0088714,0.0088714,0.0088714
59,2871.05,1.03702,0.68913,1.11293,0.71614,0.78536,0.78015,0.49823,1.20707,0.94307,1.20274,0.0088516,0.0088516,0.0088516
60,2919.27,1.0708,0.71964,1.12996,0.74791,0.74146,0.76486,0.52797,1.23772,0.9343,1.20392,0.0088318,0.0088318,0.0088318
61,2967.52,1.08065,0.73344,1.13329,0.77753,0.87744,0.82447,0.53448,1.23379,0.99957,1.19423,0.008812,0.008812,0.008812
62,3016.24,1.01158,0.67592,1.10832,0.74499,0.78731,0.78668,0.54235,1.18171,0.95166,1.16506,0.0087922,0.0087922,0.0087922
63,3064.19,1.05437,0.71471,1.11502,0.72997,0.76189,0.76177,0.50076,1.17259,0.8488,1.17917,0.0087724,0.0087724,0.0087724
64,3112.52,1.03871,0.72027,1.11913,0.76863,0.7892,0.77917,0.52248,1.21108,1.01378,1.2031,0.0087526,0.0087526,0.0087526
65,3161.01,1.0468,0.68823,1.12147,0.7531,0.74427,0.80232,0.56317,1.22259,0.94301,1.22038,0.0087328,0.0087328,0.0087328
66,3209.7,1.02022,0.67579,1.1199,0.70936,0.84044,0.77795,0.5464,1.18414,0.86227,1.17779,0.008713,0.008713,0.008713
67,3258.42,1.04102,0.69586,1.12364,0.75618,0.82382,0.79326,0.50573,1.17957,0.8406,1.188,0.0086932,0.0086932,0.0086932
68,3306.7,1.02505,0.69496,1.10985,0.74428,0.79505,0.77916,0.50528,1.1806,0.83845,1.17277,0.0086734,0.0086734,0.0086734
69,3355.07,1.01399,0.68928,1.09799,0.71102,0.79977,0.75554,0.49688,1.14966,0.82074,1.13755,0.0086536,0.0086536,0.0086536
