epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8198,1.22379,2.64866,1.32884,0.70651,0.3521,0.33135,0.19744,1.24227,2.24369,1.29161,0.000332041,0.000332041,0.000332041
2,47.5956,1.24254,1.77122,1.3426,0.80033,0.33134,0.34963,0.21858,1.27875,1.64368,1.3897,0.000658787,0.000658787,0.000658787
3,69.0039,1.2745,1.45609,1.34768,0.64252,0.29182,0.30156,0.18378,1.30089,1.80143,1.37883,0.000978934,0.000978934,0.000978934
4,90.312,1.18729,1.22754,1.29951,0.4738,0.4013,0.38265,0.25176,1.17823,1.21385,1.20896,0.0009703,0.0009703,0.0009703
5,113.238,1.16826,1.12834,1.27829,0.5855,0.39325,0.40264,0.26075,1.20326,1.32987,1.24796,0.0009604,0.0009604,0.0009604
6,134.531,1.1168,1.05232,1.25659,0.48565,0.43397,0.44277,0.28522,1.14137,1.23088,1.22124,0.0009505,0.0009505,0.0009505
7,155.183,1.10544,1.00765,1.2363,0.62858,0.34503,0.38815,0.24465,1.21736,1.18509,1.22221,0.0009406,0.0009406,0.0009406
8,175.572,1.0874,0.95431,1.22306,0.58647,0.53616,0.47329,0.29464,1.18111,1.20232,1.23251,0.0009307,0.0009307,0.0009307
9,195.338,1.07585,0.92755,1.21594,0.70069,0.45895,0.43122,0.29742,1.05345,1.0631,1.15724,0.0009208,0.0009208,0.0009208
10,215.864,1.02953,0.86433,1.18926,0.5105,0.51718,0.39767,0.27505,1.08075,1.11727,1.17339,0.0009109,0.0009109,0.0009109
11,235.893,1.02669,0.85033,1.19897,0.56654,0.39795,0.48484,0.31992,1.12123,1.0129,1.22353,0.000901,0.000901,0.000901
12,256.491,1.00281,0.82655,1.17154,0.68889,0.45928,0.50944,0.33952,1.09329,0.98857,1.16303,0.0008911,0.0008911,0.0008911
13,275.044,1.01049,0.80532,1.17819,0.84102,0.44173,0.49753,0.34157,1.12569,0.90957,1.22389,0.0008812,0.0008812,0.0008812
14,295.749,0.98531,0.80088,1.16588,0.57511,0.43627,0.53473,0.37113,1.11796,0.99042,1.18122,0.0008713,0.0008713,0.0008713
15,316.147,0.9751,0.77678,1.1648,0.60297,0.53161,0.50071,0.33068,1.01791,0.89936,1.14897,0.0008614,0.0008614,0.0008614
16,336.159,0.97906,0.77283,1.1679,0.67069,0.44415,0.50849,0.3244,1.10094,0.95043,1.18459,0.0008515,0.0008515,0.0008515
17,356.852,0.95347,0.74798,1.14114,0.7652,0.44253,0.48904,0.3255,1.09033,0.9482,1.189,0.0008416,0.0008416,0.0008416
18,377.196,0.9459,0.72484,1.13388,0.88421,0.44285,0.49946,0.34755,1.10768,0.93322,1.19272,0.0008317,0.0008317,0.0008317
19,397.091,0.91738,0.70418,1.12295,0.86564,0.39285,0.49069,0.36815,1.02393,0.88763,1.13334,0.0008218,0.0008218,0.0008218
20,420.094,0.93177,0.7059,1.13045,0.71243,0.45518,0.50541,0.38675,1.02896,0.92483,1.1283,0.0008119,0.0008119,0.0008119
21,443.488,0.92037,0.701,1.12549,0.79978,0.43713,0.64966,0.46279,1.03055,0.96281,1.17117,0.000802,0.000802,0.000802
22,464.556,0.90945,0.68085,1.11762,0.58313,0.50254,0.45004,0.30511,1.0807,0.96966,1.15243,0.0007921,0.0007921,0.0007921
23,485.235,0.90595,0.68123,1.11728,0.93773,0.43766,0.54629,0.41843,1.03343,0.94139,1.13555,0.0007822,0.0007822,0.0007822
24,505.795,0.89881,0.65878,1.11656,0.64565,0.54137,0.60543,0.42064,1.12561,0.92065,1.19937,0.0007723,0.0007723,0.0007723
25,529.126,0.89357,0.66143,1.108,0.90378,0.42087,0.50963,0.36863,1.00958,0.87316,1.14642,0.0007624,0.0007624,0.0007624
26,553.495,0.86083,0.64389,1.09505,0.68112,0.49186,0.47405,0.35652,1.06648,0.93683,1.16935,0.0007525,0.0007525,0.0007525
27,576.74,0.88063,0.63348,1.09528,0.88684,0.41927,0.48334,0.35212,1.06371,0.89647,1.16789,0.0007426,0.0007426,0.0007426
28,596.036,0.87227,0.62941,1.09473,0.89678,0.41774,0.53712,0.39644,1.03331,0.93726,1.13998,0.0007327,0.0007327,0.0007327
29,617.759,0.86608,0.61559,1.09398,0.89114,0.48026,0.47879,0.35338,0.99137,0.93249,1.11404,0.0007228,0.0007228,0.0007228
30,638.103,0.86563,0.62147,1.09298,0.6636,0.47291,0.47483,0.34328,1.02662,0.92395,1.141,0.0007129,0.0007129,0.0007129
31,658.537,0.87212,0.6142,1.09472,0.61027,0.46645,0.45583,0.336,1.02942,0.91866,1.15827,0.000703,0.000703,0.000703
32,677.909,0.85245,0.61217,1.0811,0.82344,0.44799,0.52235,0.37875,1.08028,0.89649,1.18862,0.0006931,0.0006931,0.0006931
33,698.315,0.82189,0.59246,1.06857,0.71406,0.44845,0.4977,0.37163,1.01056,0.94107,1.14427,0.0006832,0.0006832,0.0006832
34,719.062,0.8377,0.5758,1.07798,0.58965,0.47228,0.49371,0.35293,1.05751,0.93727,1.15207,0.0006733,0.0006733,0.0006733
35,739.344,0.82356,0.58262,1.07308,0.77379,0.44366,0.50876,0.36007,1.01827,0.86534,1.13791,0.0006634,0.0006634,0.0006634
36,759.813,0.82494,0.57398,1.07154,0.68701,0.48464,0.48987,0.37031,1.04338,0.92747,1.13428,0.0006535,0.0006535,0.0006535
37,780.265,0.83343,0.57147,1.06677,0.72815,0.49728,0.535,0.39074,1.03302,0.86147,1.12121,0.0006436,0.0006436,0.0006436
38,800.799,0.80945,0.55819,1.06517,0.74234,0.42639,0.48961,0.35627,0.99896,0.88611,1.13854,0.0006337,0.0006337,0.0006337
39,821.956,0.8137,0.5662,1.06181,0.89045,0.45176,0.55651,0.40481,1.06718,0.91836,1.1467,0.0006238,0.0006238,0.0006238
40,842.597,0.80235,0.54851,1.05788,0.43836,0.65547,0.57647,0.44152,1.04974,0.87355,1.13354,0.0006139,0.0006139,0.0006139
41,861.926,0.79999,0.55198,1.05777,0.88396,0.45081,0.54442,0.42171,1.03031,0.86613,1.14022,0.000604,0.000604,0.000604
42,882.346,0.80084,0.54335,1.05653,0.70542,0.48427,0.53016,0.40975,0.99999,0.86389,1.12283,0.0005941,0.0005941,0.0005941
43,902.893,0.78584,0.52456,1.0446,0.72701,0.49439,0.49874,0.35368,0.99121,0.89571,1.09725,0.0005842,0.0005842,0.0005842
44,923.288,0.79575,0.52553,1.05081,0.66436,0.499,0.58082,0.42875,1.0181,0.85276,1.11861,0.0005743,0.0005743,0.0005743
45,943.838,0.77142,0.52092,1.03555,0.68684,0.50384,0.49952,0.36889,1.00003,0.94251,1.12482,0.0005644,0.0005644,0.0005644
46,962.94,0.77199,0.51787,1.04103,0.88117,0.50362,0.4909,0.36848,1.02706,0.89299,1.13312,0.0005545,0.0005545,0.0005545
47,982.345,0.76785,0.51394,1.04052,0.73611,0.50136,0.518,0.38083,1.00341,0.87335,1.1302,0.0005446,0.0005446,0.0005446
