epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.58092,0.72037,0.45025,0.95954,0.9695,0.83952,0.89741,0.64956,1.0728,0.7163,1.14464,0.000470147,0.000470147,0.000470147
2,17.8331,0.77221,0.50769,0.99961,0.85952,0.80236,0.84873,0.59037,1.15517,0.7936,1.19008,0.000941795,0.000941795,0.000941795
3,25.4609,0.85577,0.57452,1.02746,0.87315,0.83335,0.83503,0.5898,1.07897,0.69408,1.15607,0.00140873,0.00140873,0.00140873
4,32.8419,0.865,0.54619,1.02507,0.93727,0.70831,0.80361,0.56939,1.10945,0.75125,1.17719,0.00140778,0.00140778,0.00140778
5,40.2544,0.85182,0.58125,1.04171,0.7603,0.80122,0.76728,0.54222,1.05465,0.72202,1.1451,0.00140071,0.00140071,0.00140071
6,47.6598,0.90586,0.60094,1.05709,0.82987,0.83952,0.86078,0.62439,1.09356,0.76958,1.15789,0.00139363,0.00139363,0.00139363
7,55.0965,0.87609,0.5737,1.03227,0.84977,0.86335,0.87619,0.62847,1.10574,0.67999,1.16293,0.00138656,0.00138656,0.00138656
8,63.1466,0.87412,0.61292,1.04185,0.81215,0.88694,0.8412,0.60585,1.09562,0.64349,1.19266,0.00137949,0.00137949,0.00137949
9,70.5291,0.8519,0.56324,1.03212,0.97284,0.73314,0.80991,0.59056,1.08827,0.73309,1.18484,0.00137241,0.00137241,0.00137241
10,77.8816,0.88657,0.57604,1.03986,0.74293,0.80291,0.72623,0.53791,1.1087,0.71513,1.20978,0.00136534,0.00136534,0.00136534
11,85.2941,0.90629,0.59336,1.06083,0.77274,0.86165,0.82855,0.60215,1.10024,0.77587,1.1817,0.00135826,0.00135826,0.00135826
12,92.6977,0.8949,0.59209,1.06346,0.90165,0.82012,0.8571,0.62286,1.12253,0.6537,1.2141,0.00135119,0.00135119,0.00135119
13,100.108,0.8907,0.55889,1.04965,0.83627,0.77691,0.84396,0.60996,1.06383,0.75642,1.16069,0.00134412,0.00134412,0.00134412
14,107.524,0.92483,0.58176,1.07278,0.8965,0.78746,0.83242,0.58222,1.09361,0.70533,1.1811,0.00133704,0.00133704,0.00133704
15,114.932,0.83262,0.56352,1.02635,0.8535,0.73252,0.81926,0.60484,1.0852,0.709,1.16564,0.00132997,0.00132997,0.00132997
16,122.415,0.91861,0.62306,1.06274,0.87857,0.84413,0.8929,0.63085,1.08821,0.65511,1.12888,0.0013229,0.0013229,0.0013229
17,129.831,0.86959,0.55921,1.03362,0.83163,0.84559,0.84343,0.60927,1.05326,0.68514,1.12247,0.00131582,0.00131582,0.00131582
18,137.218,0.88504,0.57306,1.05789,0.89129,0.8374,0.86624,0.61909,1.10618,0.76543,1.15068,0.00130875,0.00130875,0.00130875
19,144.66,0.86648,0.56786,1.0287,0.72651,0.80628,0.78738,0.57357,1.09777,0.7541,1.13335,0.00130168,0.00130168,0.00130168
20,152.139,0.87404,0.55585,1.02441,0.8097,0.87821,0.83049,0.5945,1.10945,0.68415,1.17472,0.0012946,0.0012946,0.0012946
21,159.641,0.89776,0.59844,1.06977,0.7946,0.84224,0.80133,0.57738,1.03325,0.72853,1.12321,0.00128753,0.00128753,0.00128753
22,167.05,0.87294,0.56331,1.04921,0.79802,0.83829,0.794,0.57868,1.0849,0.67529,1.13827,0.00128046,0.00128046,0.00128046
23,174.442,0.86358,0.57059,1.0439,0.81661,0.83642,0.82506,0.58411,1.09161,0.72535,1.16539,0.00127338,0.00127338,0.00127338
24,181.87,0.85626,0.54646,1.03704,0.88015,0.78932,0.83059,0.58618,1.06675,0.77202,1.15194,0.00126631,0.00126631,0.00126631
25,189.467,0.8681,0.55996,1.03984,0.85127,0.72608,0.80191,0.59198,1.03711,0.72673,1.13833,0.00125923,0.00125923,0.00125923
26,196.822,0.85963,0.54107,1.0276,0.89363,0.79666,0.83732,0.59339,1.03588,0.73374,1.11281,0.00125216,0.00125216,0.00125216
27,204.232,0.84007,0.54468,1.02935,0.87466,0.81701,0.86065,0.61306,1.08596,0.74563,1.1623,0.00124509,0.00124509,0.00124509
28,211.71,0.86425,0.57632,1.03505,0.76952,0.8815,0.84948,0.58402,1.04343,0.70365,1.11691,0.00123801,0.00123801,0.00123801
29,219.116,0.83333,0.53773,1.01426,0.79068,0.88286,0.84151,0.61326,1.03378,0.72487,1.11508,0.00123094,0.00123094,0.00123094
30,226.481,0.86569,0.5569,1.0338,0.86983,0.82337,0.84388,0.61002,1.09192,0.70565,1.15418,0.00122387,0.00122387,0.00122387
31,233.92,0.83766,0.5322,1.04164,0.79042,0.79906,0.79777,0.58761,1.03456,0.74107,1.14247,0.00121679,0.00121679,0.00121679
32,241.419,0.83745,0.5441,1.0395,0.8722,0.75078,0.81103,0.57133,1.09692,0.78456,1.19129,0.00120972,0.00120972,0.00120972
33,248.83,0.86516,0.5434,1.03931,0.88735,0.78262,0.84466,0.57719,1.09583,0.72033,1.20453,0.00120265,0.00120265,0.00120265
34,256.439,0.82932,0.53769,1.02493,0.95132,0.77842,0.84262,0.57814,1.05479,0.71359,1.13064,0.00119557,0.00119557,0.00119557
35,263.864,0.84633,0.53372,1.02708,0.88374,0.8472,0.86063,0.60744,1.0709,0.70823,1.15626,0.0011885,0.0011885,0.0011885
36,271.265,0.84677,0.54637,1.04208,0.84945,0.78002,0.80216,0.60133,1.05913,0.74907,1.14418,0.00118143,0.00118143,0.00118143
37,278.737,0.81516,0.54856,1.025,0.79726,0.85133,0.81876,0.60192,1.05086,0.75787,1.15772,0.00117435,0.00117435,0.00117435
38,286.207,0.83957,0.54331,1.02978,0.85906,0.83277,0.8582,0.59867,1.07533,0.67155,1.16429,0.00116728,0.00116728,0.00116728
